,concept:name,lifecycle:transition,org:resource,time:timestamp,RESOURCE,ROUND,EVENTID,ACTIVITY,STAGE,VIDEOSTART,VIDEOEND,case:concept:name,case:variant,case:variant-index,case:creator
10,Get in sterile clothes,start,R_13_1C,2018-10-11 23:03:00+11:00,R_13_1C,Pre,1539301297253,Get in sterile clothes,Operator and Patient Preparation,236,244,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
11,Get in sterile clothes,complete,R_13_1C,2018-10-11 23:04:00+11:00,R_13_1C,Pre,1539301297253,Get in sterile clothes,Operator and Patient Preparation,236,244,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
12,Hand washing,start,R_13_1C,2018-10-11 23:04:00+11:00,R_13_1C,Pre,1539301310093,Hand washing,Operator and Patient Preparation,249,254,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
13,Hand washing,complete,R_13_1C,2018-10-11 23:04:00+11:00,R_13_1C,Pre,1539301310093,Hand washing,Operator and Patient Preparation,249,254,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
14,Get in sterile clothes,start,R_13_1C,2018-10-11 23:04:00+11:00,R_13_1C,Pre,1539301317097,Get in sterile clothes,Operator and Patient Preparation,256,426,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
15,Get in sterile clothes,complete,R_13_1C,2018-10-11 23:07:00+11:00,R_13_1C,Pre,1539301317097,Get in sterile clothes,Operator and Patient Preparation,256,426,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
16,Clean puncture area,start,R_13_1C,2018-10-11 23:07:00+11:00,R_13_1C,Pre,1539301466782,Clean puncture area,Operator and Patient Preparation,445,486,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
17,Clean puncture area,complete,R_13_1C,2018-10-11 23:08:00+11:00,R_13_1C,Pre,1539301466782,Clean puncture area,Operator and Patient Preparation,445,486,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
18,Drap puncture area,start,R_13_1C,2018-10-11 23:08:00+11:00,R_13_1C,Pre,1539301504204,Drap puncture area,Operator and Patient Preparation,494,552,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
19,Drap puncture area,complete,R_13_1C,2018-10-11 23:09:00+11:00,R_13_1C,Pre,1539301504204,Drap puncture area,Operator and Patient Preparation,494,552,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
20,Cover probe,start,R_13_1C,2018-10-11 23:09:00+11:00,R_13_1C,Pre,1539301584135,Cover probe,Ultrasound Preparation,583,672,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
21,Cover probe,complete,R_13_1C,2018-10-11 23:11:00+11:00,R_13_1C,Pre,1539301584135,Cover probe,Ultrasound Preparation,583,672,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
22,Put sterile gel,start,R_13_1C,2018-10-11 23:11:00+11:00,R_13_1C,Pre,1539301692790,Put sterile gel,Ultrasound Preparation,692,704,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
23,Put sterile gel,complete,R_13_1C,2018-10-11 23:11:00+11:00,R_13_1C,Pre,1539301692790,Put sterile gel,Ultrasound Preparation,692,704,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
24,Anatomic identification,start,R_13_1C,2018-10-11 23:12:00+11:00,R_13_1C,Pre,1539301720926,Anatomic identification,Locate Structures,720,720,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
25,Anatomic identification,complete,R_13_1C,2018-10-11 23:12:00+11:00,R_13_1C,Pre,1539301720926,Anatomic identification,Locate Structures,720,720,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
26,Ultrasound configuration,start,R_13_1C,2018-10-11 23:12:00+11:00,R_13_1C,Pre,1539301727414,Ultrasound configuration,Ultrasound Preparation,726,733,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
27,Ultrasound configuration,complete,R_13_1C,2018-10-11 23:12:00+11:00,R_13_1C,Pre,1539301727414,Ultrasound configuration,Ultrasound Preparation,726,733,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
28,Prepare implements,start,R_13_1C,2018-10-11 23:12:00+11:00,R_13_1C,Pre,1539301770041,Prepare implements,Operator and Patient Preparation,769,855,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
29,Prepare implements,complete,R_13_1C,2018-10-11 23:14:00+11:00,R_13_1C,Pre,1539301770041,Prepare implements,Operator and Patient Preparation,769,855,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
30,Anesthetize,start,R_13_1C,2018-10-11 23:14:00+11:00,R_13_1C,Pre,1539301834062,Anesthetize,Venous puncture,865,871,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
31,Anesthetize,complete,R_13_1C,2018-10-11 23:14:00+11:00,R_13_1C,Pre,1539301834062,Anesthetize,Venous puncture,865,871,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
32,Anatomic identification,start,R_13_1C,2018-10-11 23:15:00+11:00,R_13_1C,Pre,1539301933206,Anatomic identification,Locate Structures,914,914,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
33,Anatomic identification,complete,R_13_1C,2018-10-11 23:15:00+11:00,R_13_1C,Pre,1539301933206,Anatomic identification,Locate Structures,914,914,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
34,Puncture,start,R_13_1C,2018-10-11 23:15:00+11:00,R_13_1C,Pre,1539301939311,Puncture,Venous puncture,920,1056,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
35,Ultrasound configuration,start,R_13_1C,2018-10-11 23:15:00+11:00,R_13_1C,Pre,1539301963844,Ultrasound configuration,Ultrasound Preparation,945,964,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
36,Ultrasound configuration,complete,R_13_1C,2018-10-11 23:16:00+11:00,R_13_1C,Pre,1539301963844,Ultrasound configuration,Ultrasound Preparation,945,964,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
37,Puncture,complete,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539301939311,Puncture,Venous puncture,920,1056,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
38,Blood return,start,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539302077785,Blood return,Venous puncture,1059,1059,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
39,Blood return,complete,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539302077785,Blood return,Venous puncture,1059,1059,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
40,Drop probe,start,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539302084048,Drop probe,Install Guidewire,1065,1065,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
41,Drop probe,complete,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539302084048,Drop probe,Install Guidewire,1065,1065,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
42,Remove syringe,start,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539302087496,Remove syringe,Install Guidewire,1068,1068,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
43,Remove syringe,complete,R_13_1C,2018-10-11 23:17:00+11:00,R_13_1C,Pre,1539302087496,Remove syringe,Install Guidewire,1068,1068,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
44,Guidewire install,start,R_13_1C,2018-10-11 23:18:00+11:00,R_13_1C,Pre,1539302102889,Guidewire install,Install Guidewire,1084,1098,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
45,Guidewire install,complete,R_13_1C,2018-10-11 23:18:00+11:00,R_13_1C,Pre,1539302102889,Guidewire install,Install Guidewire,1084,1098,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
46,Check wire in short axis,start,R_13_1C,2018-10-11 23:18:00+11:00,R_13_1C,Pre,1539302127075,Check wire in short axis,Install Guidewire,1108,1111,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
47,Check wire in short axis,complete,R_13_1C,2018-10-11 23:18:00+11:00,R_13_1C,Pre,1539302127075,Check wire in short axis,Install Guidewire,1108,1111,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
48,Check wire in long axis,start,R_13_1C,2018-10-11 23:18:00+11:00,R_13_1C,Pre,1539302145843,Check wire in long axis,Install Guidewire,1127,1127,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
49,Check wire in long axis,complete,R_13_1C,2018-10-11 23:18:00+11:00,R_13_1C,Pre,1539302145843,Check wire in long axis,Install Guidewire,1127,1127,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
50,Remove trocar,start,R_13_1C,2018-10-11 23:19:00+11:00,R_13_1C,Pre,1539302161655,Remove trocar,Install Guidewire,1142,1148,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
51,Remove trocar,complete,R_13_1C,2018-10-11 23:19:00+11:00,R_13_1C,Pre,1539302161655,Remove trocar,Install Guidewire,1142,1148,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
52,Check wire in short axis,start,R_13_1C,2018-10-11 23:19:00+11:00,R_13_1C,Pre,1539302177557,Check wire in short axis,Install Guidewire,1158,1172,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
53,Check wire in short axis,complete,R_13_1C,2018-10-11 23:19:00+11:00,R_13_1C,Pre,1539302177557,Check wire in short axis,Install Guidewire,1158,1172,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
54,Check wire in long axis,start,R_13_1C,2018-10-11 23:19:00+11:00,R_13_1C,Pre,1539302192667,Check wire in long axis,Install Guidewire,1173,1200,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
55,Check wire in long axis,complete,R_13_1C,2018-10-11 23:20:00+11:00,R_13_1C,Pre,1539302192667,Check wire in long axis,Install Guidewire,1173,1200,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
56,Widen pathway,start,R_13_1C,2018-10-11 23:20:00+11:00,R_13_1C,Pre,1539302230084,Widen pathway,Install Catheter,1211,1239,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
57,Widen pathway,complete,R_13_1C,2018-10-11 23:20:00+11:00,R_13_1C,Pre,1539302230084,Widen pathway,Install Catheter,1211,1239,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
58,Advance catheter,start,R_13_1C,2018-10-11 23:20:00+11:00,R_13_1C,Pre,1539302267699,Advance catheter,Install Catheter,1248,1335,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
59,Advance catheter,complete,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302267699,Advance catheter,Install Catheter,1248,1335,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
60,Remove guidewire,start,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302354734,Remove guidewire,Install Catheter,1335,1337,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
61,Remove guidewire,complete,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302354734,Remove guidewire,Install Catheter,1335,1337,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
62,Check flow and reflow,start,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302360872,Check flow and reflow,Install Catheter,1342,1359,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
63,Check flow and reflow,complete,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302360872,Check flow and reflow,Install Catheter,1342,1359,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
64,Check catheter position,start,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302393311,Check catheter position,Install Catheter,1374,1374,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
65,Check catheter position,complete,R_13_1C,2018-10-11 23:22:00+11:00,R_13_1C,Pre,1539302393311,Check catheter position,Install Catheter,1374,1374,1539302414925-video_1.3_CVC,Variant 1,1,Fluxicon Disco
66,Get in sterile clothes,start,R_14_1D,2018-10-12 00:00:00+11:00,R_14_1D,Pre,1539302666960,Get in sterile clothes,Operator and Patient Preparation,56,73,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
67,Get in sterile clothes,complete,R_14_1D,2018-10-12 00:01:00+11:00,R_14_1D,Pre,1539302666960,Get in sterile clothes,Operator and Patient Preparation,56,73,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
68,Hand washing,start,R_14_1D,2018-10-12 00:01:00+11:00,R_14_1D,Pre,1539302685533,Hand washing,Operator and Patient Preparation,74,95,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
69,Hand washing,complete,R_14_1D,2018-10-12 00:01:00+11:00,R_14_1D,Pre,1539302685533,Hand washing,Operator and Patient Preparation,74,95,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
70,Position patient,start,R_14_1D,2018-10-12 00:01:00+11:00,R_14_1D,Pre,1539302714063,Position patient,Locate Structures,103,106,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
71,Position patient,complete,R_14_1D,2018-10-12 00:01:00+11:00,R_14_1D,Pre,1539302714063,Position patient,Locate Structures,103,106,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
72,Prepare implements,start,R_14_1D,2018-10-12 00:02:00+11:00,R_14_1D,Pre,1539302805850,Prepare implements,Operator and Patient Preparation,133,173,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
73,Prepare implements,complete,R_14_1D,2018-10-12 00:02:00+11:00,R_14_1D,Pre,1539302805850,Prepare implements,Operator and Patient Preparation,133,173,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
74,Hand washing,start,R_14_1D,2018-10-12 00:02:00+11:00,R_14_1D,Pre,1539302877942,Hand washing,Operator and Patient Preparation,179,196,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
75,Hand washing,complete,R_14_1D,2018-10-12 00:03:00+11:00,R_14_1D,Pre,1539302877942,Hand washing,Operator and Patient Preparation,179,196,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
76,Get in sterile clothes,start,R_14_1D,2018-10-12 00:03:00+11:00,R_14_1D,Pre,1539302896626,Get in sterile clothes,Operator and Patient Preparation,198,322,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
77,Get in sterile clothes,complete,R_14_1D,2018-10-12 00:05:00+11:00,R_14_1D,Pre,1539302896626,Get in sterile clothes,Operator and Patient Preparation,198,322,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
78,Prepare implements,start,R_14_1D,2018-10-12 00:05:00+11:00,R_14_1D,Pre,1539302968903,Prepare implements,Operator and Patient Preparation,325,348,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
79,Prepare implements,complete,R_14_1D,2018-10-12 00:05:00+11:00,R_14_1D,Pre,1539302968903,Prepare implements,Operator and Patient Preparation,325,348,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
80,Clean puncture area,start,R_14_1D,2018-10-12 00:05:00+11:00,R_14_1D,Pre,1539302993494,Clean puncture area,Operator and Patient Preparation,349,371,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
81,Clean puncture area,complete,R_14_1D,2018-10-12 00:06:00+11:00,R_14_1D,Pre,1539302993494,Clean puncture area,Operator and Patient Preparation,349,371,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
82,Drap puncture area,start,R_14_1D,2018-10-12 00:06:00+11:00,R_14_1D,Pre,1539303014190,Drap puncture area,Operator and Patient Preparation,376,427,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
83,Drap puncture area,complete,R_14_1D,2018-10-12 00:07:00+11:00,R_14_1D,Pre,1539303014190,Drap puncture area,Operator and Patient Preparation,376,427,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
84,Prepare implements,start,R_14_1D,2018-10-12 00:07:00+11:00,R_14_1D,Pre,1539303052220,Prepare implements,Operator and Patient Preparation,431,431,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
85,Prepare implements,complete,R_14_1D,2018-10-12 00:07:00+11:00,R_14_1D,Pre,1539303052220,Prepare implements,Operator and Patient Preparation,431,431,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
86,Cover probe,start,R_14_1D,2018-10-12 00:08:00+11:00,R_14_1D,Pre,1539303115836,Cover probe,Ultrasound Preparation,527,716,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
87,Ultrasound configuration,start,R_14_1D,2018-10-12 00:08:00+11:00,R_14_1D,Pre,1539303122361,Ultrasound configuration,Ultrasound Preparation,537,581,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
88,Ultrasound configuration,complete,R_14_1D,2018-10-12 00:09:00+11:00,R_14_1D,Pre,1539303122361,Ultrasound configuration,Ultrasound Preparation,537,581,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
89,Gel in probe,start,R_14_1D,2018-10-12 00:09:00+11:00,R_14_1D,Pre,1539303143614,Gel in probe,Ultrasound Preparation,569,573,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
90,Gel in probe,complete,R_14_1D,2018-10-12 00:09:00+11:00,R_14_1D,Pre,1539303143614,Gel in probe,Ultrasound Preparation,569,573,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
91,Cover probe,complete,R_14_1D,2018-10-12 00:11:00+11:00,R_14_1D,Pre,1539303115836,Cover probe,Ultrasound Preparation,527,716,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
92,Put sterile gel,start,R_14_1D,2018-10-12 00:12:00+11:00,R_14_1D,Pre,1539303258497,Put sterile gel,Ultrasound Preparation,738,761,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
93,Put sterile gel,complete,R_14_1D,2018-10-12 00:12:00+11:00,R_14_1D,Pre,1539303258497,Put sterile gel,Ultrasound Preparation,738,761,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
94,Position probe,start,R_14_1D,2018-10-12 00:12:00+11:00,R_14_1D,Pre,1539303297068,Position probe,Ultrasound Preparation,777,777,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
95,Position probe,complete,R_14_1D,2018-10-12 00:12:00+11:00,R_14_1D,Pre,1539303297068,Position probe,Ultrasound Preparation,777,777,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
96,Ultrasound configuration,start,R_14_1D,2018-10-12 00:13:00+11:00,R_14_1D,Pre,1539303314509,Ultrasound configuration,Ultrasound Preparation,794,810,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
97,Ultrasound configuration,complete,R_14_1D,2018-10-12 00:13:00+11:00,R_14_1D,Pre,1539303314509,Ultrasound configuration,Ultrasound Preparation,794,810,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
98,Anatomic identification,start,R_14_1D,2018-10-12 00:13:00+11:00,R_14_1D,Pre,1539303333994,Anatomic identification,Locate Structures,813,857,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
99,Anatomic identification,complete,R_14_1D,2018-10-12 00:14:00+11:00,R_14_1D,Pre,1539303333994,Anatomic identification,Locate Structures,813,857,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
100,Compression identification,start,R_14_1D,2018-10-12 00:14:00+11:00,R_14_1D,Pre,1539303378476,Compression identification,Locate Structures,858,868,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
101,Compression identification,complete,R_14_1D,2018-10-12 00:14:00+11:00,R_14_1D,Pre,1539303378476,Compression identification,Locate Structures,858,868,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
102,Anesthetize,start,R_14_1D,2018-10-12 00:14:00+11:00,R_14_1D,Pre,1539303412787,Anesthetize,Venous puncture,892,903,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
103,Anesthetize,complete,R_14_1D,2018-10-12 00:15:00+11:00,R_14_1D,Pre,1539303412787,Anesthetize,Venous puncture,892,903,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
104,Position probe,start,R_14_1D,2018-10-12 00:15:00+11:00,R_14_1D,Pre,1539303434726,Position probe,Ultrasound Preparation,914,914,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
105,Position probe,complete,R_14_1D,2018-10-12 00:15:00+11:00,R_14_1D,Pre,1539303434726,Position probe,Ultrasound Preparation,914,914,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
106,Puncture,start,R_14_1D,2018-10-12 00:15:00+11:00,R_14_1D,Pre,1539303444915,Puncture,Venous puncture,924,983,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
107,Puncture,complete,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303444915,Puncture,Venous puncture,924,983,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
108,Blood return,start,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303504442,Blood return,Venous puncture,984,984,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
109,Blood return,complete,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303504442,Blood return,Venous puncture,984,984,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
110,Drop probe,start,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303507533,Drop probe,Install Guidewire,987,987,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
111,Drop probe,complete,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303507533,Drop probe,Install Guidewire,987,987,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
112,Remove syringe,start,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303519455,Remove syringe,Install Guidewire,999,1019,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
113,Remove syringe,complete,R_14_1D,2018-10-12 00:16:00+11:00,R_14_1D,Pre,1539303519455,Remove syringe,Install Guidewire,999,1019,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
114,Guidewire install,start,R_14_1D,2018-10-12 00:17:00+11:00,R_14_1D,Pre,1539303547110,Guidewire install,Install Guidewire,1027,1113,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
115,Guidewire install,complete,R_14_1D,2018-10-12 00:18:00+11:00,R_14_1D,Pre,1539303547110,Guidewire install,Install Guidewire,1027,1113,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
116,Remove trocar,start,R_14_1D,2018-10-12 00:18:00+11:00,R_14_1D,Pre,1539303635957,Remove trocar,Install Guidewire,1115,1122,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
117,Remove trocar,complete,R_14_1D,2018-10-12 00:18:00+11:00,R_14_1D,Pre,1539303635957,Remove trocar,Install Guidewire,1115,1122,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
118,Widen pathway,start,R_14_1D,2018-10-12 00:18:00+11:00,R_14_1D,Pre,1539303655106,Widen pathway,Install Catheter,1135,1147,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
119,Widen pathway,complete,R_14_1D,2018-10-12 00:19:00+11:00,R_14_1D,Pre,1539303655106,Widen pathway,Install Catheter,1135,1147,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
120,Advance catheter,start,R_14_1D,2018-10-12 00:19:00+11:00,R_14_1D,Pre,1539303671467,Advance catheter,Install Catheter,1151,1246,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
121,Advance catheter,complete,R_14_1D,2018-10-12 00:20:00+11:00,R_14_1D,Pre,1539303671467,Advance catheter,Install Catheter,1151,1246,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
122,Remove guidewire,start,R_14_1D,2018-10-12 00:20:00+11:00,R_14_1D,Pre,1539303804688,Remove guidewire,Install Catheter,1248,1248,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
123,Remove guidewire,complete,R_14_1D,2018-10-12 00:20:00+11:00,R_14_1D,Pre,1539303804688,Remove guidewire,Install Catheter,1248,1248,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
124,Check flow and reflow,start,R_14_1D,2018-10-12 00:20:00+11:00,R_14_1D,Pre,1539303809106,Check flow and reflow,Install Catheter,1255,1309,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
125,Check flow and reflow,complete,R_14_1D,2018-10-12 00:21:00+11:00,R_14_1D,Pre,1539303809106,Check flow and reflow,Install Catheter,1255,1309,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
126,Check catheter position,start,R_14_1D,2018-10-12 00:21:00+11:00,R_14_1D,Pre,1539303848844,Check catheter position,Install Catheter,1315,1315,1539303857517-video_1.4_CVC,Variant 2,2,Fluxicon Disco
